brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Unknown,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3199.0,1919.0,40.012503907471086,Footwear,Women's Footwear,₹1K–2K,3,40–60%,4
Unknown,Salt N Pepper 14-664 Denny Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4295.0,3221.0,25.0058207217695,Footwear,Women's Footwear,₹2K–5K,4,20–40%,3
Unknown,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Costa Swiss Wrist Watches""]",,1199.0,429.0,64.22018348623854,Watches,Wrist Watches,<₹500,1,60–80%,5
Unknown,Crocs Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3995.0,3995.0,0.0,Footwear,Women's Footwear,₹2K–5K,4,0–10%,1
Unknown,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Breitling Wrist Watches""]",,571230.0,571230.0,0.0,Watches,Wrist Watches,₹5K+,5,0–10%,1
Unknown,Lyc White Casual Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",5.0,1199.0,899.0,25.0208507089241,Footwear,Women's Footwear,₹500–1K,2,20–40%,3
Unknown,Myra Comfortable Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1049.0,499.0,52.43088655862727,Footwear,Women's Footwear,<₹500,1,40–60%,4
Unknown,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Calibro Wrist Watches""]",,2000.0,699.0,65.05,Watches,Wrist Watches,₹500–1K,2,60–80%,5
Unknown,Get Glamr Designer Uggy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3499.0,2799.0,20.005715918833957,Footwear,Women's Footwear,₹2K–5K,4,20–40%,3
Unknown,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,899.0,60.89604175728578,Footwear,Women's Footwear,₹500–1K,2,60–80%,5
Unknown,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1999.0,999.0,50.025012506253134,Footwear,Women's Footwear,₹500–1K,2,40–60%,4
Unknown,Rochees RW50 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",,1120.0,952.0,15.0,Watches,Wrist Watches,₹500–1K,2,10–20%,2
Unknown,Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2799.0,1299.0,53.59056806002144,Footwear,Women's Footwear,₹1K–2K,3,40–60%,4
